source_string	target_string
ⴷ ⵉⵖⵙ ⵏ ⵜⵎⵉⴷⵊⴰ	عظم الحنجرة.
ⵖⴰⵔ-ⵙ ⵍⵅⴰⵟⵔ	لديه خاطر.
ⵖⴰⵔ-ⵙ ⵙⵏ ⵏ ⵡⵓⴷⵎⴰⵡⵏ	له وجهان.
ⵖⵔ ⵢⵉⵔⵉ ⵏⵏⵛ	على رقبتك.
ⵃⴹⴰ ⵢⵉⵅⴼ ⵏⵏⵛ	راقب نفسك.
ⵃⴼⴼⵏ ⴰⵙ	حلقوا له.
ⴽⴽⵔ, ⵜⴽⴽⵔ ⴰⵛ	انهض، نهضت لك.
ⵉⴱⴷⴷ ⴰⵙ ⴷⵉ ⵜⵎⵉⴷⵊⴰ	وقف له في الحنجرة.
ⵉⴱⴷⴷ ⴰⵙ ⴷ ⵊⴰⵔ ⵜⵉⵟⵟⴰⵡⵉⵏ	وقف له بين العينين.
ⵉⴱⴷⴷ ⴰⵙ ⴷ ⵅ ⵓⵣⵍⵍⵉⴼ	وقف له على الرأس.
ⵉⴱⴷⴷ ⴰⵙ ⵖⵔ ⵓⵣⵍⵍⵉⴼ	وقف عند رأسه.
ⵉⴱⴷⴷ ⴰⵙ ⵡⵓⵍ	وقف له القلب.
ⵉⴱⴷⴷⵍ ⵓⴷⵎ ⵏⵏⵙ	بدل وجهه.
ⵉⴱⴷⴷ ⵓⵛⴽⴽⵓⴽ ⵏⵏⵙ	وقف شعره.
ⵉⴱⴷⴷ ⵡⴰⵡⴰⵍ ⵏⵏⵙ	وقف كلامه.
ⵉⴱⴷⴷ ⵅ ⵢⵉⴷⵊ ⵓⵟⴰⵕ	وقف على رجل واحدة.
ⵉⴱⴷⴷ ⵅ ⵢⵉⵟⴰⵕⵏ ⵏⵏⵙ	وقف على رجليه.
ⵉⴱⵔⵔⴷ ⵓⵍ ⵏⵏⵙ	برد قلبه.
ⵉⴱⵔⵛⵏ ⵡⵓⵍ ⵏⵏⵙ	اسود قلبه.
ⵉⴱⵕⵎ ⴰⵙ ⴰⵣⵍⵍⵉⴼ	قلب له الرأس.
ⵉⴱⵥⴹ ⴷⵉ ⵙⵙⵔⵡⴰⵍ ⵏⵏⵙ	بال في سرواله.
ⵉⴱⵥⴹ ⵙ ⵡⴰⴷⴷⴰ ⵢⴰⵙ	بال تحته.
ⵉⴷⴱⴱⵕ ⵅ ⵓⵄⴷⴷⵉⵙ ⵏⵏⵙ	دبر على بطنه.
ⵉⴷⴱⴱⵕ ⵅ ⵢⵉⵅⴼ  ⵏⵏⵙ	دبر على نفسه.
ⵉⴷⵊ ⴰⵙ ⵜⵉⵏⵖⴱⵕⵜ	ترك له الغبار.
ⵉⴷⵊ ⵏ ⵓⵟⴰⴹ ⵏ ⵜⴰⵎⴻⵎⵜ	أصبع من العسل.
ⵉⴷⵡⵍ ⴷⴰⴳ-ⵙ ⵖⵉⵔ ⴰⵣⵍⵍⵉⴼ	أصبح فيه الرأس فقط.
ⵉⴷⵡⵍ ⴷ ⴰⵏⵥⴹ	أصبح شعرة.
ⵉⴷⵡⵍ ⴷⴳ ⵡⴰⵡⴰⵍ ⵏⵏⵙ	رجع في كلامه.
ⵉⴷⵡⵍ ⴷ ⵜⴰⵟⵃⵃⴰⴽⵜ ⵏ ⵎⵉⴷⴷⵏ	أصبح أضحوكة الناس.
ⵉⴷⵡⵍ ⵇⴰⵄ ⴷ ⴰⵄⴷⴷⵉⵙ	صار كله بطنا.
ⵉⴹⵢⵢⵄ ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ	ضيع رأسه.
ⵉⴼⴹⵃ ⵉⵜⵜ ⵓⴱⵜⵛⵓⵏ ⵏⵏⵙ	فضحها فرجها.
ⵉⴼⴹⵃ ⵉⵜⵜ ⵓⵃⵜⵛⵓⵏ ⵏⵏⵙ	فضحها فرجها.
ⵉⴼⴹⵃ ⵉ ⵡⵇⵍⵍⴰⵍ ⵏⵏⵙ	فضحه قضيبه.
ⵉⴼⴹⵃ ⵉ ⵡⵄⴷⴷⵉⵙ ⵏⵏⵙ	فضحه بطنه.
ⵉⴼⴹⵃ ⵉ ⵢⵉⵎⵉ ⵏⵏⵙ	فضحه فمه.
ⵉⴼⴹⵃ ⵢⵉⵅⴼ ⵏⵏⵙ	فضح نفسه.
ⵉⴼⴼⵖ ⴰⵙ ⴷ ⴷⵉ ⵜⵏⵟⵓⵃⵜ	خرج له في الجبهة.
ⵉⴼⴼⵖ ⴰⵙ ⴼⵓⵙ	خرج له من اليد.
ⵉⴼⴼⵖ ⴰⵙ ⵣⴳ ⵓⵖⵣⴷⵉⵙ	خرج له من الضلع.
ⵉⴼⴼⵖ ⴰⵙ ⵣⴳ ⵡⴰⵍⵍⵉ	خرج له من العقل.
ⵉⴼⴼⵖ ⴰⵙ ⵣⴳ ⵡⵓⵍ	خرج له من القلب.
ⵉⴼⴼⵖ ⵉ ⴱⵓⵃⴱⵍ	خرجته الروح.
ⵉⴼⴼⵖ ⵉ ⴷⴷⵎ	خرجه الدم.
ⵉⴼⴼⵖ ⵅⴰⴼ-ⵙ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	خرج عليه رأسه.
ⵉⴼⴼⵖ ⵅ ⵢⵉⵅⴼ ⵏⵏⵙ	خرج على نفسه.
ⵉⴼⵔⵏ ⴰⵙ ⵉⵎⵊⵊⴰⵏ	نظف له الأذنين.
ⵉⴼⵔⵔⵖ ⴰⵙ ⵡⴰⵍⵍⵉ	أفرغ له الدماغ.
ⵉⴼⵔⵔⵖ ⴷ ⴰⵄⴷⴷⵉⵙ ⵏⵏⵙ	أفرغ بطنه.
ⵉⴼⵔⵔⵖ ⴷ ⵓⵍ ⵏⵏⵙ	أفرغ قلبه.
ⵉⴼⵙⵓⵙ ⴰⵙ ⵓⵟⴰⵕ	خفيف الرجل.
ⵉⴼⵙⵓⵙ ⵓⴼⵓⵙ ⵏⵏⵙ	يده خفيفة.
ⵉⴼⵙⵓⵙ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	رأسه خفيف.
ⵉⴼⵙⵓⵙ ⵅ ⵡⵓⵍ	خفيف على القلب.
ⵉⴳⴷⵔ ⴰⵙ ⵓⵄⴷⴷⵉⵙ	كبر له البطن.
ⵉⴳⴳⵓⵔ ⵅ ⵜⴼⴷⵏⵉⵏ	يمشي على أصابع القدم.
ⵉⴳⴳⵓⵔ ⵅ ⵜⵎⵍⵍⴰⵍⵉⵏ	يمشي على البيض.
ⵉⴳⵄⵄⴷ ⴰⵙ ⵛⵛⴰⵏ	صعد له الشأن.
ⵉⵖⵍⵢ ⴰⵍ ⵉⴼⴰⴷⴷⵏ	غاص حتى الركبتين.
ⵉⵖⵟⵍ ⴰⵙ ⵍⵀⴹⵔⵜ	أسقط له الكلام.
ⵉⵖⵟⵟⵍ ⵉⴼⴰⴷⴷⵏ	يوقع الركب.
ⵉⵖⵥⵥ ⴼⵓⵙ ⵏⵏⵙ	عض يده.
ⵉⵖⵥⵥ ⵉ ⵙ ⵢⵉⵍⵙ	عضه بلسانه.
ⵉⵀⴷⵎ ⴷ ⵉⴼⴰⴷⴷⵏ ⵉⵏⵓ	أسقط ركبتاي.
ⵉⵃⴹⴹⴰ ⵣⵣⵉ ⵍⵇⴼⴰ	ينظر من القفا.
ⵉⵃⴼⵟ ⵍⵙⵡⴰⵕ ⵏⵏⵙ	حفظ سوره.
ⵉⵃⵎⴰ ⴷⴰⴳ-ⵙ ⴷⴷⵎ	سخن فيه الدم.
ⵉⵃⵎⴰ ⴷⴷⵎ ⵏⵏⵙ	دمه ساخن.
ⵉⵃⵎⴰ ⵡⵣⵍⵍⵉⴼ ⵏⵏⵙ	رأسه ساخن.
ⵉⵃⵎⴰ ⵢⴰⵙ ⵉⵎⵉ	سخن له الفم.
ⵉⵃⵕⵕ ⵓⵖⵕⵓⵎ ⵏⵏⵙ	خبزه حار.
ⵉⵃⵙⵙⴱ ⵅ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	يحسب على رأسه.
ⵉⵊⴰ ⵢⴼⴰⴷⴷⵏ	ربى الركب.
ⵉⵊⴱⴷ ⴰⵙ ⴷ ⵢⵉⵍⵙ	سحب له اللسان.
ⵉⵊⴱⴷ ⴰⵙ ⵉⵎⵊⵊⴰⵏ	سحب له الأذنين.
ⵉⵊⴱⴷ ⴼⵓⵙ ⵏⵏⵙ	سحب يده.
ⵉⵊⵎⵄ ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ	جمع رأسه.
ⵉⵊⵏⴰ ⵙⵙⵓⵇ	السوق كاسد.
ⵉⵊⵏⴰ ⵢⴰⴽⴷ ⵉⵢⴰⵥⵉⵟⵏ	نام مع الدجاج.
ⵉⴽⴽⴰⵍ ⵅ ⵡⵓⴷⵎ	يمضي اليوم على الوجه.
ⵉⴽⴽⴰ ⵅⴰⴼ-ⵙ	مر عليه.
ⵉⴽⴽⴰ ⵅ ⵜⵎⵊⵊⵜ ⵉⵏⵓ	مر على أذني.
ⵉⴽⴽⴰ ⵣⵜⴰⵜ-ⵉ	مر أمامي.
ⵉⴽⴽⵉⵜⵛⵡ ⵓⴽⵙⵓⵎ ⵏⵏⵙ	داد لحمه.
ⵉⴽⴽⵙ ⴰⵙ ⴰⵛⴱⴰⴱ	نزع له الجلد.
ⵉⴽⴽⵓⵏⵙⵔ ⵓⵅⵏⴰ ⵏⵏⵙ	انفتحت مؤخرته.
ⵉⴽⵙⵉ ⵜ ⵉⵖⵙ ⵏⵏⵙ	حمله عظمه.
ⵉⴽⵙⵉ ⵜ ⵅ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	حمله على رأسه.
ⵉⴽⵙⵉ ⵡⵏⵥⴰⵕ	رفع المطر.
ⵉⴽⵙⵉ ⵢⵉⵅⴼ ⵏⵏⵙ	حمل نفسه.
ⵉⴽⵙⵙⵉ ⵕⴱⴱⵉ ⵢⵎⵙⵙⵍ ⴰⵙ	يحمل ربي ويطليها.
ⵉⴽⵙⵙⵉ ⵜⵉⵏⵣⵔⵜ ⴳ ⵓⵊⵏⵏⴰ	يحمل الأنف في السماء.
ⵉⵍⴰ ⵙⵏ ⵏ ⵡⵓⴷⵎⴰⵡⵏ	يملك وجهان.
ⵉⵍⵍⴰ ⵡⵣⵉⵔ ⵉⵜⵜⴰⵔⵊⴰ	إكليل الجبل يحلم.
ⵉⵍⵍⴰ ⵅⴰⴼ-ⵙ ⵓⴼⵓⵙ	توجد عليه اليد.
ⵉⵍⵍⴰ ⵢⵜⵜⵄⴰⵢⴰⵏ ⵉⵛ ⵓⴼⵓⵙ ⴰⴼⵔⵢⴰⵟ	تنتظرك اليد اليسرى.
ⵉⵍⵙ ⵏⵏⵙ ⴷ ⴰⵣⴳⵔⴰⵔ	لسانه طويل.
ⵉⵍ ⵜⵜⴳⴳ ⵉⵎⵉ	لا تضع الفم.
ⵉⵎⵉ ⵏⵏⵙ ⴷ ⵜⴰⵎⴻⵎⵜ	فمه عسل.
ⵉⵎⵍⵍⴻⵍ ⵡⵓⵍ ⵏⵏⵙ	ابيض قلبه.
ⵉⵎⵎⵓⵜ ⴰⵙ	مات له.
ⵉⵎⵎⵓⵜ ⵙ ⵢⵉⵟⵚ	مات بالنوم.
ⵉⵎⵎⵓⵜ ⵡⵓⵍ ⵏⵏⵙ	مات قلبه.
ⵉⵎⵇⵇⵔ ⴰⵙ ⵓⵄⴷⴷⵉⵙ	كبر له البطن.
ⵉⵎⵇⵇⵔ ⵓⵄⴷⴷⵉⵙ ⵏⵏⵙ	بطنه كبير.
ⵉⵎⵇⵇⵔ ⵡⵓⵍ ⵏⵏⵙ	قلبه كبير.
ⵉⵎⵥⵥⵢ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	رأسه صغير.
ⵉⵎⵥⵥⵢ ⵓⵄⴷⴷⵉⵙ ⵏⵏⵙ	بطنه صغير.
ⵉⵎⵄⵏ ⴰⴱⵔⵉⴷ	أمسك الطريق.
ⵉⵎⵄⵏ ⴷⴰⴳ-ⵙ ⵙ ⵢⵉⴼⴰⵙⵙⵏ ⴷ ⵢⵉⵟⴰⵕⵏ	أمسك فيه باليدين والرجلين.
ⵉⵎⵄⵏ ⴷⴳ ⵓⵣⵍⵍⵉⴼ	أمسك في الرأس.
ⵉⵎⵄⵏ ⵜⴰⵎⵓⵔⵜ	أمسك الأرض.
ⵉⵏⵖⴰ ⵢⵉⵅⴼ ⵏⵏⵙ	قتل نفسه.
ⵉⵏⵖ ⵉ ⵍⴰⵥ	قتله الجوع.
ⵉⵏⵉ ⵜ ⵉ ⵢⵉⵅⴼ ⵏⵏⵛ	قلها لنفسك.
ⵉⵏⵏⴰ ⵢⴰⵙ ⵜ ⵍⵅⴰⵟⵔ ⵏⵏⵙ	قالها له خاطره.
ⵉⵏⵏⴰ ⵢⵉ ⵜ ⵓⵣⵍⵍⵉⴼ ⵉⵏⵓ	قالها لي رأسي.
ⵉⵏⵏⵓⵇⵇⴱ ⵓⴼⵓⵙ ⵏⵏⵙ	يده مثقوبة.
ⵉⵏⵙⴰ ⵅ ⵓⵊⵉⵊ	بات على الوتد.
ⵉⵏⵙⴰ ⵢⵊⴰ ⴷⴰⴳ-ⵙ ⵉⴼⴰⴷⴷⵏ	بات واضعا فيها ركبتاه.
ⵉⵏⵙ ⵉⵙ	بات به.
ⵉⵏⵢⴰ ⵅⴰⴼ-ⵙ ⵄⵟⵟⴰⵕⵉ	ركب عليه ركبة العطار.
ⵉⵏⵣⵖ ⴰⵙ ⵡⴰⵡⴰⵍ	تاه له الكلام.
ⵉⵇⴱⵛ ⴰⵙ ⵜⵉⵎⵊⵊⵜ	قرص لها الأذن.
ⵉⵇⵍⵍⵄ ⴷ ⴰⴷⴰⵏ	يقتلع الأحشاء.
ⵉⵇⵍⵍⵄ ⴷ ⵓⵍ	يقتلع القلب.
ⵉⵇⵇⴷ ⴼⵓⵙ ⵏⵏⵙ	كوى يده.
ⵉⵇⵇⵉⵎ ⴷⴰⴳ-ⵙ ⵖⵉⵔ ⴰⵣⵍⵍⵉⴼ	لم يبق فيه إلا الرأس.
ⵉⵇⵇⵉⵎ ⴷⵉ ⵍⵀⴹⵔⵜ ⵏⵏⵙ	بقي في كلامه.
ⵉⵇⵇⵉⵎ ⴷⵉ ⵚⵚⵉⴼⵜ ⵏⵏⵙ	بقي في صفته.
ⵉⵇⵇⵉⵎ ⴼⴰⵔⵖ ⵛⵖⵍ	بقي بدون شغل.
ⵉⵇⵇⵉⵎ ⵅⴰⴼ-ⵙ	جلس عليه.
ⵉⵇⵇⵏ ⵉⵎⵉ ⵏⵏⵙ	أغلق فمه.
ⵉⵇⵇⵏ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵙ	أغلق عيناه.
ⵉⵇⵇⵙ ⵉⵢⵉ ⵡⵙⵔⵓⴼ ⵉⵏⵓ	آلمني ظهري.
ⵉⵇⵇⵓⵔ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	رأسه قاس.
ⵉⵇⵇⵓⵔ ⵡⵓⵍ ⵏⵏⵙ	قلبه قاس.
ⵉⵇⵇⵢ ⵉ ⴱⵍⴰ ⵜⴽⵓⴼⴼⴰⵙ	جامعه بدون لعاب.
ⵉⵇⵟⵟⵡ ⵜⵙⴰ	يقطع الكبد.
ⵉⵇⵟⵄ ⵟⴰⵕ ⵏⵏⵙ	قطع رجله.
ⵉⵔⵔ ⴰⵙ ⴰⵍⵍⵉ	أعاد له الدماغ.
ⵉⵔⵔ ⴰⵙ ⵙ ⵓⵙⵔⵓⴼ	رد له بالظهر.
ⵉⵔⵔⴰ ⵢⴰⵖⵎⵎⵓⵣ ⴷⵉ ⴷⴷⵎ	رد السن الكبيرة في الدم.
ⵉⵔⵔ ⵉⵜⵜ ⵖⵔ ⵡⵓⵍ ⵏⵏⵙ	ردها إلى قلبه.
ⵉⵔⵙ ⴰⵙ ⵅ ⵡⵓⵍ	حط له على القلب.
ⵉⵔⵅⵓ ⴷ ⵉ ⵢⵎⵟⵟⴰⵡⵏ	أرخى الدموع.
ⵉⵔⵅⵓ ⴷ ⵉ ⵢⵎⵊⵊⴰⵏ	أرخى الأذنين.
ⵉⵔⵅⵓ ⵢ ⵉⵎⵊⵊⴰⵏ ⵏⵏⵙ	أرخى أذنيه.
ⵉⵔⵢⵢⵃ ⵢⵉⵎⵉ ⵏⵏⵙ	فمه كريه.
ⵉⵕⴰⵃ ⴰⵙ ⵡⴰⵍⵍⵉ	فقد عقله.
ⵉⵕⴰⵃ ⴷⴰⴳ-ⵙ	ذهب فيها.
ⵉⵕⴱⴱⴰ ⵅⴰⴼ-ⵙ ⵜⵙⴰ	ربى عليه الكبد.
ⵉⵕⴱⴱⴰ ⵢⵖⵕⴹⴰⵏ	ربى الأكتاف.
ⵉⵕⵕⵥ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	تحطم رأسه.
ⵉⵕⵥⴰ ⵢⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ	حطم رأسه.
ⵉⵕⵥⴰ ⵢⴼⴰⴷⴷⵏ ⵏⵏⵙ	كسر ركبتاه.
ⵉⵕⵥⴰ ⵢⵖⴷⵉⵙⵏ ⵉⵏⵓ	حطم أضلعي.
ⵉⵕⵥⵎ ⴰⵙⵏ ⴷⵉ ⵙⵙⵔⵡⴰⵍ	أطلقهم (بال) في سرواله.
ⵉⵕⵥⵎ ⵉⵎⵉ ⵏⵏⵙ	فتح فمه.
ⵉⵕⵥⵎ ⵜⵉⵎⵊⵊⵉⵏ ⵏⵏⵙ	فتح أذنيه.
ⵉⵙⵉⵏ ⵎⴰⵏⵉ ⵜⵙⵙⵔⵓⵙⵜ ⵟⴰⵕ ⵏⵏⵛ	اعرف أين تضع رجلك.
ⵉⵙⵎⵃ ⴷⴳ ⵢⵉⵅⴼ ⵏⵏⵙ	أهمل نفسه.
ⵉⵙⵔⵟ ⴽⵉⴷ-ⵙ ⴰⵎⵊⵔ	ابتلع معه المنجل.
ⵉⵙⵙⴰⵡⴰⵍ ⴷⴰⴳ-ⵙ	يتحدث فيه.
ⵉⵙⵙⴰⵡⴰⵍ ⵣⵣⵉ ⵜⵉⵏⵣⴰⵔ	يتكلم من المناخر.
ⵉⵙⵙⴱⴷⴷ ⴰⵙ ⵜⴰⵍⵇⵇⵉⵎⵜ	أوقف له اللقمة.
ⵉⵙⵙⴱⵥⴹ ⵉ	أباله.
ⵉⵙⵙⵖⴰⴷ ⵖⵔ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ	يستمع لعظامه.
ⵉⵙⵙⵃⵓⵙⵙⵢ ⴰⵙ ⴷⵉ ⵜⵎⵊⵊⵜ	همس له في الأذن.
ⵉⵙⵙⵉⵔⴷ ⴷⴷⵏⵓⴱ ⵏⵏⵙ	غسل ذنوبه.
ⵉⵙⵙⵉⵔⴷ ⴼⵓⵙ ⵏⵏⵙ ⵣⵣⴰⴳ-ⵙ	غسل يديه منه.
ⵉⵙⵙⵉⵅⵡⴰ ⵢⴰⵙ	تجنبه.
ⵉⵙⵙⵉⵣⵣⵍ ⵉ ⵖⵔ ⵢⵉⵎⵉ	أسرع به للفم.
ⵉⵙⵙⴽⴽ ⵉⵜⵜ ⵅⴰⴼ-ⵙ	أمرها عليه.
ⵉⵙⵙⴽⴽⵔ	أنهض.
ⵉⵙⵙⵎⵏⵄ ⵉⵅⴼ ⵏⵏⵙ	خلص نفسه.
ⵉⵙⵙⵔⵙ ⵜⵉⵟⵟ ⵏⵏⵙ ⵅⴰⴼ-ⵙ	وضع عينه عليها.
ⵉⵙⵙⵔⵙ ⵅⴰⴼ-ⵙ ⴼⵓⵙ	حط عليها اليد.
ⵉⵙⵙⵔⵙ ⵅ ⵢⵉⵍⵖⵎⴰⵏ ⵏⵏⵙ	حط على جماله.
ⵉⵙⵙⵟⴼⵕ ⴰⵙ ⵍⵅⴰⵟⵔ	أتبع له الخاطر.
ⵉⵙⵙⵟⵓⵇⵇⵙ ⵜⴰⵎⵟⵟⵓⵟⵜ ⵏⵏⵙ	ثقب زوجته.
ⵉⵙⵙⵟⵓⵇⵇⵙ ⵓⵍ ⵏⵏⵙ	فجر قلبه.
ⵉⵙⵙⵓⴷⵓⵎ ⴰⵙ ⵉⵟⴰⵕⵏ ⴷ ⵢⵉⴼⴰⵙⵙⵏ	يقبل له الرجلين واليدين.
ⵉⵙⵙⵓⴼⴼⵖ ⴷ ⴷⴰⴳ-ⵙ ⵉⵣⵉⵣⴰⵡⵏ	أخرج فيه الشيب.
ⵉⵙⵙⵓⴼⴼⵖ ⴷ ⵜⵓⵕⴰⵡⵉⵏ ⵏⵏⵙ	أخرج رئتاه.
ⵉⵙⵙⵓⴼⴼⵖ ⴷ ⵓⵍ ⵏⵏⵙ	أخرج قلبه.
ⵉⵙⵙⵓⵟ ⴰⵙ ⴷⵉ ⵜⵎⵊⵊⵜ	نفخ له في الأذن.
ⵉⵙⵙⵓⵟ ⴰⵙ ⵅ ⵜⴳⵔⵎⴰⵎⵜ	نفخ له على بثرة في الجلد.
ⵉⵚⴼⴰ ⵡⵓⵍ ⵏⵏⵙ	صاف قلبه.
ⵉⵚⵃⵃ ⵓⴽⵉⴹⴰⵕ ⵏⵏⵛ	حصانك قوي.
ⵉⵚⵎⵎⵟ ⵡⵓⵍ ⵏⵏⵙ	قلبه بارد.
ⵉⵛⵍ ⵉⵙ	أمضى يومه به.
ⵉⵛⵎⵟ ⵡⵓⵍ ⵏⵏⵙ	احترق قلبه.
ⵉⵛⵏⵉ ⵢⴰⵙ ⵢⵉⵍⵙ	استقام له اللسان.
ⵉⵛⵔⵙ ⵜⴰⵏⵟⵓⵃⵜ	قطّب الجبين.
ⵉⵛⵔⵙ ⵓⴼⵓⵙ ⵏⵏⵙ	يده مربوطة.
ⵉⵛⵕⵕⵓⵥ ⵡⵓⵍ ⵏⵏⵙ	قلبه ضيق.
ⵉⵛⵛⵉⵔⵔⵡ ⵓⴽⵙⵓⵎ ⵉⵏⵓ	اقشعر لحمي.
ⵉⵛⵛⵉⵔⵔⵡ ⵓⵛⴽⴽⵓⴽ ⵉⵏⵓ	وقف شعري.
ⵉⵛⵛⵉⵟⵟⵡ	رفع أذنيه انتباها.
ⵉⵜⴻⵜⵜ ⴷⴳ ⵢⵉⵅⴼ ⵏⵏⵙ	يأكل في نفسه.
ⵉⵜⴻⵜⵜ, ⵉⵙⵙⵜⵜⵛⴰ	يأكل ويؤكّل.
ⵉⵜⴻⵜⵜ ⵜⵉⴷⵉ ⵏ ⵎⵉⴷⴷⵏ	يأكل عرق الناس.
ⵉⵜⴻⵜⵜ ⵜⵉⴷⵉ ⵏⵏⵙ	يأكل عرقه.
ⵉⵜⵇⵍ ⵓⴼⵓⵙ ⵏⵏⵙ	يده ثقيلة.
ⵉⵜⵜⴰⵜⴼ ⴷⴳ ⵡⵓⵍ	يلج القلب.
ⵉⵜⵜⴰⵜⴼ ⵉⵜⵜⴼⴼⵖ ⴷⵉ ⵍⵀⴹⵔⵜ	يدخل ويخرج في الكلام.
ⵉⵜⵜⴰⵜⴼ ⵊⴰⵔ ⴱⵉⵛⵛⵔ ⴷ ⵓⴽⵙⵓⵎ	يدخل بين الظفر واللحم.
ⵉⵜⵜⴰⵡⵢ ⴷ ⵢⵉⵅⴼ ⵏⵏⵙ	يأتي بنفسه.
ⵉⵜⵜⴱⴷⴷⴰ ⵅ ⵢⵉⴷⵊ ⵓⵟⴰⵕ	يقف على رجل واحدة.
ⵉⵜⵜⵖⵥⵥⴰ ⴳ ⵢⵉⵅⴼ ⵏⵏⵙ	يعض في نفسه.
ⵉⵜⵜⵖⵥⵥⴰ ⵖⴰⵔ-ⵉ ⵜⵖⵎⴰⵙ	يعض عندي الأسنان.
ⵉⵜⵜⵇⵇⵍ ⴳ ⵡⵓⴷⵎⴰⵡⵏ	ينظر في الأوجه.
ⵉⵜⵜⵔⵊⵉⵊⵉ ⵡⵓⵍ ⵏⵏⵙ	يرتجف قلبه.
ⵉⵜⵜⵔⵓ ⵜⵏ ⴷ ⵉⴷⴱⴱⵓⵣⵏ	يبكيهم قبضات.
ⵉⵜⵜⵙⴰⵍ ⵅ ⵉⵥⵓⵕⴰⵏ ⵏ ⵜⴰⵢⵓⵜ	يسأل عن جذور الضباب.
ⵉⵜⵜⵛ ⴰⵙ ⴰⵍⵍⵉ	أكل له الدماغ.
ⵉⵜⵜⵛⴰⵜ ⵖⵔ ⵉⵟⵓⴹⴰⵏ	يضرب للأصابع.
ⵉⵜⵜⵛⴰⵜ ⵙ ⵜⵉⵟⵟ	يضرب بالعين.
ⵉⵜⵜⵛⴰⵜ ⵜⵓⵎⵎⵚⵜ ⵏⵏⵙ	يضرب ملء كفه.
ⵉⵜⵜⵛⴰ ⵅⴰⴼ-ⵙ ⵉⵟⵓⴹⴰⵏ ⵏⵏⵙ	أكل عليه أصابعه.
ⵉⵜⵜⵛⴰ ⵢⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ	أكل رأسه.
ⵉⵜⵜⵛⴰ ⵢⴰⵄⵎⵓⴷ	أكل العصا.
ⵉⵜⵜⵛ ⵉⵜⵜ ⵓⴱⵜⵛⵓⵏ ⵏⵏⵙ	حكها فرجها.
