source_string,target_string,license,latin,arabic
<h3>No data</h3>Sync AsteroidOS with your phone.,<h3>ⵓⵔ ⵍⵍⵉⵏⵜ ⵜⵎⵓⵛⴰ</h3>ⵎⵢⴰⴽⵓⴷ AsteroidOS ⴰⴽⴷ ⵜⵜⵉⵍⵉⴼⵓⵏ ⵏⵏⴽ.,GPL-3.0-or-later,<h3>ur llint tmusha</h3>myakud AsteroidOS akd ttilifun nnk.,<h3>ور للينت تموشا</h3>مياكود AsteroidOS اكد تتيليفون ننك.
Music,ⴰⵥⴰⵡⴰⵏ,GPL-3.0-or-later,aẓawan,ازّاوان
changeset,ⴰⵙⵏⴼⵍ,GPL-3.0-or-later,asnfl,اسنفل
layers,ⵜⴰⵔⴰⵢⵉⵏ,GPL-3.0-or-later,tarayin,تارايين
themes,ⵜⵉⴼⵉⵔⴰⵙ,GPL-3.0-or-later,tifiras,تيفيراس
nodes,ⵉⴽⵔⵓⵙⵏ,GPL-3.0-or-later,ikrusn,يكروسن
node,ⴰⴽⵔⵓⵙ,GPL-3.0-or-later,akrus,اكروس
review,ⴰⵍⴰⵙ ⵏ ⵜⵎⵓⵖⵍⵉ,GPL-3.0-or-later,alas n tmughli,الاس ن تموغلي
object,ⴰⵡⵜⵜⴰⵙ,GPL-3.0-or-later,awttas,اوتتاس
split,ⴰⴱⵟⵟⵓ,GPL-3.0-or-later,abṭṭu,ابططو
survey,ⴰⵙⴰⴳⴳⵯ,GPL-3.0-or-later,asaggⵯ,اساڭڭⵯ
relation,ⵜⴰⵙⵇⵇⵏⵜ,GPL-3.0-or-later,tasqqnt,تاسققنت
features,ⵜⵉⵎⵥⵍⴰⵢ,GPL-3.0-or-later,timẓlay,تيمزّلاي
layer,ⵜⴰⵔⴰⵢⵜ,GPL-3.0-or-later,tarayt,تارايت
area,ⴰⴷⵖⴰⵔ,GPL-3.0-or-later,adghar,ادغار
way,ⴰⴱⵔⵉⴷ,GPL-3.0-or-later,abrid,ابريد
point,ⵜⴰⵏⵇⵇⵉⴹⵜ,GPL-3.0-or-later,tanqqiḍt,تانققيضت
points,ⵜⵉⵏⵇⵇⴰⴹ,GPL-3.0-or-later,tinqqaḍ,تينققاض
reviews,ⴰⵍⴰⵙ ⵏ ⵜⵎⵓⵖⵍⵉ,GPL-3.0-or-later,alas n tmughli,الاس ن تموغلي
feature,ⵜⴰⵎⵥⵍⵉⵜ,GPL-3.0-or-later,tamẓlit,تامزّليت
changesets,ⵉⵙⵏⴼⴰⵍⵏ,GPL-3.0-or-later,isnfaln,يسنفالن
theme,ⵜⴰⴼⵔⵙⵜ,GPL-3.0-or-later,tafrst,تافرست
track,ⴰⵎⵣⴰⵣ,GPL-3.0-or-later,amzaz,امزاز
Publicly accessible,ⵉⵏⵏⵓⵕⵥⵎ ⵅⴼ ⵓⵎⴰⵜⴰ,CC0-1.0,innuṛẓm khf umata,يننورزّم خف وماتا
Accessible with owner's permit,ⴰⴷ ⵉⵜⵜⵓⵙⴰⴳⴰ ⵖⴰⵙ ⵙ ⵜⵓⵔⴰⴳⵜ ⵏ ⴱⴰⴱ ⵏⵏⵙ,CC0-1.0,ad ittusaga ghas s turagt n bab nns,اد يتتوساڭا غاس س توراڭت ن باب ننس
Accessible during work hours,ⴰⴷ ⵉⵜⵜⵓⵙⴰⴳⴰ ⴳ ⵜⵙⵔⴰⴳⵉⵏ ⵏ ⵜⵡⵓⵔⵉ,CC0-1.0,ad ittusaga g tsragin n twuri,اد يتتوساڭا ڭ تسراڭين ن تووري
Unavailable,ⵢⴰⴳⵓⵎ,CC0-1.0,yagum,ياڭوم
Unknown access,ⵓⵔ ⵉⵜⵜⵡⴰⵙⵙⵏ ⵡⵓⴹⵓⴼ,CC0-1.0,ur ittwassn wuḍuf,ور يتتواسسن ووضوف
No access tag or not matching above,ⵓⵔ ⵜⵍⵍⵉ ⵜⵎⴰⵜⴰⵔⵜ ⵏ ⵡⴰⵡⴰⴹ ⵏⵉⵖ ⵓⵔ ⵜⵎⵙⴰⵙⴰ ⴳ ⵓⴼⵍⵍⴰ,CC0-1.0,ur tlli tmatart n wawaḍ nigh ur tmsasa g uflla,ور تللي تماتارت ن واواض نيغ ور تمساسا ڭ وفللا
Publicly available until further notice,ⴰⴷ ⵉⵏⵏⵓⵕⵥⵎ ⵅⴼ ⵓⵎⴰⵜⴰ ⴳ ⵓⵙⵎⴰⵍ ⵢⴰⴹⵏ,CC0-1.0,ad innuṛẓm khf umata g usmal yaḍn,اد يننورزّم خف وماتا ڭ وسمال ياضن
created with ❤️ by,ⵉⵜⵜⴰⵡⵙⴽⴰⵔ ⵙⴳ ⵜⵏⵉⵍⴰ ⵏ ❤️ ⵙ ⵜⵖⴰⵔⴰⵙⵜ ⵏ,CC0-1.0,ittawskar sg tnila n ❤️ s tgharast n,يتتاوسكار سڭ تنيلا ن ❤️ س تغاراست ن
Visit our GitHub repository,ⵥⵕ ⵜⵉⵙⴳⵉⵜ ⵏⵏⵖ ⵏ GitHub,CC0-1.0,ẓṛ tisgit nngh n GitHub,زّر تيسڭيت ننغ ن GitHub
Visit OpenStreetMap Poland's website,ⵥⵕ ⴰⵙⵉⵜ ⵏ OpenStreetMap ⵏ ⴱⵓⵍⴰⵏⴷⴰ,CC0-1.0,ẓṛ asit n OpenStreetMap n bulanda,زّر اسيت ن OpenStreetMap ن بولاندا
Log in using OSM account,ⴽⵛⵎ ⵙ ⵓⵙⵎⵔⵙ ⵏ ⵓⵎⵉⴹⴰⵏ ⵏ OSM,CC0-1.0,kshm s usmrs n umiḍan n OSM,كشم س وسمرس ن وميضان ن OSM
Log out,ⴼⴼⵖ,CC0-1.0,ffgh,ففغ
About,ⵅⴼ,CC0-1.0,khf,خف
hosted by,ⵙ ⵓⵙⴷⵓⵙ ⵏ,CC0-1.0,s usdus n,س وسدوس ن
Help translating,ⴰⵡⵙ ⴳ ⵓⵙⵓⵖⵍ,CC0-1.0,aws g usughl,اوس ڭ وسوغل
Close sidebar,ⵇⵇⵏ ⵜⵉⴼⵍⵓⵜ,CC0-1.0,qqn tiflut,ققن تيفلوت
Download AED data added to OSM,ⴰⴳⴰⵎ ⵏ ⵜⵎⵓⵛⴰ ⵏ AED ⵉⵜⵜⵡⴰⵔⵏⵓⵏ ⵖⵔ OSM,CC0-1.0,agam n tmusha n AED ittwarnun ghr OSM,اڭام ن تموشا ن AED يتتوارنون غر OSM
Excel,ⵉⴽⵙⵉⵍ,CC0-1.0,iksil,يكسيل
Map legend,ⵜⴰⵏⴰⵙⵜ ⵏ ⵜⴽⴰⵕⴹⴰ,CC0-1.0,tanast n tkaṛḍa,تاناست ن تكارضا
No data,ⵡⴰⵍⵓ ⵜⵉⵎⵓⵛⴰ,CC0-1.0,walu timusha,والو تيموشا
Inside building,ⵊⴰⵊ ⵏ ⵜⵓⵚⴽⴰ,CC0-1.0,jaj n tuṣka,جاج ن توصكا
level,ⴰⵙⵡⵉⵔ,CC0-1.0,aswir,اسوير
Location,ⴰⴷⵖⴰⵔ,CC0-1.0,adghar,ادغار
Opening hours,ⵜⵉⵙⵔⴰⴳⵉⵏ ⵏ ⵓⵕⵥⵥⵓⵎ,CC0-1.0,tisragin n uṛẓẓum,تيسراڭين ن ورزّزّوم
Description,ⴰⴳⵍⴰⵎ,CC0-1.0,aglam,اڭلام
Contact number,ⵓⵟⵟⵓⵏ ⵏ ⵡⴰⵡⴰⴹ,CC0-1.0,uṭṭun n wawaḍ,وططون ن واواض
Operator,ⴰⵎⵡⵓⵔⵉ,CC0-1.0,amwuri,امووري
Note,ⵜⵉⵏⵥⵉ,CC0-1.0,tinẓi,تينزّي
Edit,ⵙⴳⴳⴷ,CC0-1.0,sggd,سڭڭد
Edit in OSM,ⵙⴳⴳⴷ ⴳ OSM,CC0-1.0,sggd g OSM,سڭڭد ڭ OSM
View in OSM,ⵥⵕ ⴳ OSM,CC0-1.0,ẓṛ g OSM,زّر ڭ OSM
Copy URL,ⵙⵙⵏⵖⵍ URL,CC0-1.0,ssnghl URL,سسنغل URL
Add defibrillator,ⵔⵏⵓ ⵎⴳⵍ ⴰⵔⵎⵉⵎⵎⵉ,CC0-1.0,rnu mgl armimmi,رنو مڭل ارميممي
OpenStreetMap Navigation,ⵜⴰⵙⵖⵏⵣⵉⵜ ⵏ OpenStreetMap,CC0-1.0,tasghnzit n OpenStreetMap,تاسغنزيت ن OpenStreetMap
Google Maps Navigation,ⵜⴰⵙⵖⵏⵣⵉⵜ ⵜⴰⵢⵍⴰⵏⵜ ⵏ Google Maps,CC0-1.0,tasghnzit taylant n Google Maps,تاسغنزيت تايلانت ن Google Maps
Date of survey,ⴰⵙⴰⴽⵓⴷ ⵏ ⵓⵔⵣⵣⵓ,CC0-1.0,asakud n urzzu,اساكود ن ورززو
Edit defibrillator,ⵙⴳⴳⴷ ⵎⴳⵍ ⴰⵔⵎⵉⵎⵎⵉ,CC0-1.0,sggd mgl armimmi,سڭڭد مڭل ارميممي
World,ⴰⵎⴰⴹⴰⵍ,CC0-1.0,amaḍal,اماضال
Find location,ⴰⴼ ⴰⴷⵖⴰⵔ,CC0-1.0,af adghar,اف ادغار
Field optional,ⵉⴳⵔ ⴰⵔⵓⵛⵛⵉⵍ,CC0-1.0,igr arushshil,يڭر اروششيل
Move marker to AED location,ⵙⵎⵓⵜⵜⵉ ⵜⴰⵎⴰⵜⴰⵔⵜ ⵖⵔ ⵓⵔⴰⵇ ⵏ AED,CC0-1.0,smutti tamatart ghr uraq n AED,سموتتي تاماتارت غر وراق ن AED
Is inside building?,ⵉⵙ ⵉⵍⵍⴰ ⵊⴰⵊ ⵏ ⵜⵓⵚⴽⴰ?,CC0-1.0,is illa jaj n tuṣka?,يس يللا جاج ن توصكا?
Inside,ⴰⴳⵏⵙⵓ,CC0-1.0,agnsu,اڭنسو
Level,ⴰⵙⵡⵉⵔ,CC0-1.0,aswir,اسوير
Outside,ⴱⵕⵕⴰ,CC0-1.0,bṛṛa,بررا
Accessibility,ⴰⵏⵏⵓⵕⵥⵎ,CC0-1.0,annuṛẓm,اننورزّم
Describe location,ⴳⵍⵎ ⴰⵏⵙⴰ,CC0-1.0,glm ansa,ڭلم انسا
For example: On the wall near the entrance,ⵙ ⵓⵎⴷⵢⴰ: ⴳ ⵓⵖⵔⴰⴱ ⵜⴰⵎⴰ ⵏ ⵓⵙⴰⴷⴼ,CC0-1.0,s umdya: g ughrab tama n usadf,س ومديا: ڭ وغراب تاما ن وسادف
Add,ⵔⵏⵓ,CC0-1.0,rnu,رنو
Add AED,ⵔⵏⵓ AED,CC0-1.0,rnu AED,رنو AED
Cancel,ⵙⵙⵔ,CC0-1.0,ssr,سسر
Continue,ⵙⵓⵍ,CC0-1.0,sul,سول
Save AED,ⵃⴹⵓ AED,CC0-1.0,ḥḍu AED,حضو AED
Project's partners,ⵉⵎⴷⵔⴰⵡⵏ ⵏ ⵓⵙⵏⵜⵉ,CC0-1.0,imdrawn n usnti,يمدراون ن وسنتي
Open,ⴰⴷⴼ,CC0-1.0,adf,ادف
Closed,ⵉⵇⵇⵏ,CC0-1.0,iqqn,يققن
Yes,ⵡⴰⵀ,CC0-1.0,wah,واه
No,ⵓⵀⵓ,CC0-1.0,uhu,وهو
OpenStreetMap Poland,OpenStreetMap ⵏ ⴱⵓⵍⴰⵏⴷⴰ,CC0-1.0,OpenStreetMap n bulanda,OpenStreetMap ن بولاندا
AED added successfully.,ⵉⵜⵜⵡⴰⵔⵏⴰ AED ⵙ ⵓⵎⵓⵔⵙ.,CC0-1.0,ittwarna AED s umurs.,يتتوارنا AED س ومورس.
AED updated successfully.,ⵉⵜⵜⵓⵙⴷⵖⵉ AED ⵙ ⵓⵎⵓⵔⵙ.,CC0-1.0,ittusdghi AED s umurs.,يتتوسدغي AED س ومورس.
Available in OpenStreetMap with the URL:,ⵉⵍⵍⴰ ⴳ OpenStreetMap ⵙ URL:,CC0-1.0,illa g OpenStreetMap s URL:,يللا ڭ OpenStreetMap س URL:
Object should appear on the map within 60 minutes.,ⵉⵅⵚⵚⴰ ⴰⴷ ⵢⵓⵎⴰⵏ ⵓⵙⴽⴽⵉⵏ ⵅⴼ ⵜⴽⴰⵕⴹⴰ ⴳ 60 ⵏ ⵜⵓⵙⴷⵉⴷⵜ.,CC0-1.0,ikhṣṣa ad yuman uskkin khf tkaṛḍa g 60 n tusdidt.,يخصصا اد يومان وسككين خف تكارضا ڭ 60 ن توسديدت.
Error occurred,ⵜⵙⴰⵔ ⵢⴰⵜ ⵜⵣⴳⵍⵜ,CC0-1.0,tsar yat tzglt,تسار يات تزڭلت
Information,ⵓⵎⵍⴰⵏ,CC0-1.0,umlan,وملان
To add features you need to log in using OpenStreetMap account.,"ⵃⵎⴰ ⴰⴷ ⵜⵔⵏⵓⴷ ⵜⵉⴱⵖⵓⵔⵉⵏ, ⵉⵅⵚⵚⴰ ⴰⴽ ⴰⴷ ⵜⴽⵛⵎⴷ ⵙ ⵓⵙⵎⵔⵙ ⵏ ⵓⵎⵉⴹⴰⵏ ⵏ OpenStreetMap.",CC0-1.0,"ḥma ad trnud tibghurin, ikhṣṣa ak ad tkshmd s usmrs n umiḍan n OpenStreetMap.","حما اد ترنود تيبغورين, يخصصا اك اد تكشمد س وسمرس ن وميضان ن OpenStreetMap."
Close this window and click login button at the top to log in.,"ⵇⵇⵏ ⴰⵙⵕⵥⵎ ⴰⴷ, ⵜⴽⵍⵉⴽⵉⴷ ⵅⴼ ⵜⴳⵎⵎⵓⵜ ⵏ ⵓⴽⵛⵛⵓⵎ ⴳ ⵓⴼⵍⵍⴰ ⵃⵎⴰ ⴰⴷ ⵜⴽⵛⵎⴷ.",CC0-1.0,"qqn asṛẓm ad, tklikid khf tgmmut n ukshshum g uflla ḥma ad tkshmd.","ققن اسرزّم اد, تكليكيد خف تڭمموت ن وكششوم ڭ وفللا حما اد تكشمد."
To add features you need to zoom in so the location that you provide is accurate.,"ⵃⵎⴰ ⴰⴷ ⵜⵔⵏⵓⴷ ⵜⵉⴱⵖⵓⵔⵉⵏ, ⵉⵅⵚⵚⴰ ⴰⴽ ⴰⴷ ⵜⵙⵙⵎⵖⵔⴷ ⵃⵎⴰ ⴰⴷ ⴷ ⵢⵓⵎⴰⵏ ⵎⵍⵉⵃ ⵓⴷⵖⴰⵔ ⵏⵏⴰ ⵜⵔⵉⴷ.",CC0-1.0,"ḥma ad trnud tibghurin, ikhṣṣa ak ad tssmghrd ḥma ad d yuman mliḥ udghar nna trid.","حما اد ترنود تيبغورين, يخصصا اك اد تسسمغرد حما اد د يومان مليح ودغار ننا تريد."
Current zoom:,ⵓⵣⵓⵎ ⵏ ⴷⵖⵉ:,CC0-1.0,uzum n dghi:,وزوم ن دغي:
Zoom needs to be at level 15 minimum.,ⵉⵅⵚⵚⴰ ⴰⴷ ⵢⵉⵍⵉ ⵡⵓⵣⵓⵎ ⴰⵏⴰⴷⴷⴰⵡ ⵖⵔ ⵓⵙⵡⵉⵔ ⵡⵉⵙ 15.,CC0-1.0,ikhṣṣa ad yili wuzum anaddaw ghr uswir wis 15.,يخصصا اد ييلي ووزوم انادداو غر وسوير ويس 15.
OpenAEDMap is an open-data project which shows all Automated External Defibrillators (AED) around the world. The website is based on data from OpenStreetMap and is the result of OpenStreetMap Poland's association efforts. It was created in 2022 after changing the Polish website AED Mapa to a new design.,OpenAEDMap ⵉⴳⴰ ⵢⴰⵏ ⵓⵙⵏⵜⵉ ⵏ ⵜⵎⵓⵛⴰ ⵉⵏⵏⵓⵕⵥⵎⵏ ⴰⵔ ⵉⵙⵏⵄⴰⵜ ⵇⴰⵃ ⵉⴷ ⵎⴳⵍ ⴰⵔⴳⵉⴳⴳⵉ ⵉⵡⵓⵔⵎⴰⵏⵏ ⵏ ⴱⵕⵕⴰ (AED) ⴳ ⵓⵎⴰⴹⴰⵍ. ⴰⵔ ⵉⵜⵜⴱⴷⴰⴷ ⵡⴰⵙⵉⵜ ⵅⴼ ⵜⵎⵓⵛⴰ ⵙⴳ OpenStreetMap ⴰⵀⴰ ⵉⴳⴰ ⵜⴰⵢⴰⴼⵓⵜ ⵏ ⵜⵣⵎⵎⴰⵔ ⵏ ⵜⵎⵙⵎⵓⵏⵜ ⵏ OpenStreetMap ⴳ ⴱⵓⵍⴰⵏⴷⴰ. ⵉⵜⵜⴰⵡⵙⴽⴰⵔ ⴳ 2022 ⵍⵍⵉⴳ ⵉⵜⵜⴰⵡⵙⵏⴼⴰⵍ ⵡⴰⵙⵉⵜ ⵏ AED ⴰⴱⵓⵍⴰⵏⴷⵉ ⵖⵔ ⵢⴰⵏ ⵓⵎⴰⵎⴽ ⵢⴰⴹⵏ.,CC0-1.0,OpenAEDMap iga yan usnti n tmusha innuṛẓmn ar isn3at qaḥ id mgl argiggi iwurmann n bṛṛa (AED) g umaḍal. ar ittbdad wasit khf tmusha sg OpenStreetMap aha iga tayafut n tzmmar n tmsmunt n OpenStreetMap g bulanda. ittawskar g 2022 llig ittawsnfal wasit n AED abulandi ghr yan umamk yaḍn.,OpenAEDMap يڭا يان وسنتي ن تموشا يننورزّمن ار يسنعات قاح يد مڭل ارڭيڭڭي يوورمانن ن بررا (AED) ڭ وماضال. ار يتتبداد واسيت خف تموشا سڭ OpenStreetMap اها يڭا تايافوت ن تزممار ن تمسمونت ن OpenStreetMap ڭ بولاندا. يتتاوسكار ڭ 2022 لليڭ يتتاوسنفال واسيت ن AED ابولاندي غر يان ومامك ياضن.
OpenStreetMap (OSM) is like a Wikipedia for maps. It's available to use for everyone and anybody can add objects to the map. You can use your OSM account to add AED locations directly from this site using a simple form.,"OpenStreetMap (OSM) ⵉⵔⵡⴰⵙ ⵡⵉⴽⵉⴱⵉⴷⵢⴰ ⵏ ⵜⴽⴰⵕⴹⵉⵡⵉⵏ. ⵉⵏⵏⵓⵕⵥⵎ ⵅⴼ ⵓⵎⴰⵜⴰ, ⴽⵓ ⵢⴰⵏ ⵉⵥⴹⴰⵕ ⴰⴷ ⵉⵔⵏⵓ ⵉⵙⴽⴽⵉⵏⵏ ⴳ ⵜⴽⴰⵕⴹⴰ. ⵜⵣⵎⵔⴷ ⴰⴷ ⵜⵙⵙⵎⵔⵙⴷ ⴰⵎⵉⴹⴰⵏ ⵏⵏⴽ ⵏ OSM ⵃⵎⴰ ⴰⴷ ⵜⵔⵏⵓⴷ ⵉⴷⵖⴰⵔⵏ ⵏ AED ⵏⵉⵛⴰⵏ ⵙⴳ ⵡⴰⵙⵉⵜ ⴰⴷⵙ ⵓⵙⵎⵔⵙ ⵏ ⵢⴰⵏ ⵓⵣⵓⵔⵜ ⴰⴼⵔⴰⵔ.",CC0-1.0,"OpenStreetMap (OSM) irwas wikibidya n tkaṛḍiwin. innuṛẓm khf umata, ku yan iẓḍaṛ ad irnu iskkinn g tkaṛḍa. tzmrd ad tssmrsd amiḍan nnk n OSM ḥma ad trnud idgharn n AED nishan sg wasit ads usmrs n yan uzurt afrar.","OpenStreetMap (OSM) يرواس ويكيبيديا ن تكارضيوين. يننورزّم خف وماتا, كو يان يزّضار اد يرنو يسككينن ڭ تكارضا. تزمرد اد تسسمرسد اميضان ننك ن OSM حما اد ترنود يدغارن ن AED نيشان سڭ واسيت ادس وسمرس ن يان وزورت افرار."
You can contribute too! Just create a free account on,ⵜⵣⵎⵔⴷ ⴰⴷ ⵜⴱⵣⵔⴷ ⴰⵡⴷ ⴽⵢⵢ! ⵙⴽⵔ ⵖⴰⵙ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⴱⴰⵟⵍ ⴳ,CC0-1.0,tzmrd ad tbzrd awd kyy! skr ghas yan umiḍan baṭl g,تزمرد اد تبزرد اود كيي! سكر غاس يان وميضان باطل ڭ
Do you want to become OpenAEDMap partner?,ⵉⵙ ⵜⵔⵉⴷ ⴰⴷ ⵜⴳⴷ ⴰⵛⵔⵉⴽ ⵏ OpenAEDMap partner?,CC0-1.0,is trid ad tgd ashrik n OpenAEDMap partner?,يس تريد اد تڭد اشريك ن OpenAEDMap partner?
Contact us,ⵎⵢⴰⵡⴰⴹ ⴰⴽⵉⴷⵏⵖ,CC0-1.0,myawaḍ akidngh,مياواض اكيدنغ
Thank you for uploading the photo. It should be visible soon.,ⵜⴰⵏⵎⵎⵉⵔⵜ ⵅⴼ ⵡⴰⴳⴰⵎ ⵏ ⵜⵡⵍⴰⴼⵜ. ⵔⴰⴷ ⵜⵓⵎⴰⵏ ⴷⵖⵉ.,CC0-1.0,tanmmirt khf wagam n twlaft. rad tuman dghi.,تانمميرت خف واڭام ن تولافت. راد تومان دغي.
Thank you for sending a report. It will be reviewed by the site administrators.,ⵜⴰⵏⵎⵎⵉⵔⵜ ⵅⴼ ⵡⴰⵣⴰⵏ ⵏ ⵜⴰⵏⴰⴹⵜ. ⵔⴰⴷ ⵉⵜⵜⴰⵡⵖⵔⴰ ⵙⴳ ⵜⵏⵉⵍⴰ ⵏ ⵉⵎⵙⵜⴳⴳⴰⵔⵏ ⵏ ⵡⴰⵙⵉⵜ.,CC0-1.0,tanmmirt khf wazan n tanaḍt. rad ittawghra sg tnila n imstggarn n wasit.,تانمميرت خف وازان ن تاناضت. راد يتتاوغرا سڭ تنيلا ن يمستڭڭارن ن واسيت.
e-Health Centre,ⴰⵎⵎⴰⵙ ⴰⵍⵉⴽⵟⵕⵓⵏⵉ ⵏ ⵜⴷⵓⵙⵉ,CC0-1.0,ammas alikṭṛuni n tdusi,امماس اليكطروني ن تدوسي
Honorary patronage,ⵉⵡⵉⵣ ⴰⵏⵍⵓⵎⵎⵜ,CC0-1.0,iwiz anlummt,يويز انلوممت
Head Office of Geodesy and Cartography in Poland,ⴰⵎⵎⴰⵙ ⵏ ⵜⵢⵓⵊⵉⴷⵉⵙⵉⵜ ⴷ ⵜⴽⴰⵕⵟⵓⴳⵕⴰⴼⵜ ⴳ ⴱⵓⵍⴰⵏⴷⴰ,CC0-1.0,ammas n tyujidisit d tkaṛṭugṛaft g bulanda,امماس ن تيوجيديسيت د تكارطوڭرافت ڭ بولاندا
acting,ⴰⵎⵙⴽⴰⵔ,CC0-1.0,amskar,امسكار
Chief Geodesist of Poland,ⴰⵏⵙⵙⵉⵅⴼ ⵏ ⵉⵊⵉⴷⵢⵓⵙⵉⵢⵏ ⴳ ⴱⵓⵍⴰⵏⴷⴰ,CC0-1.0,anssikhf n ijidyusiyn g bulanda,انسسيخف ن يجيديوسيين ڭ بولاندا
The Main Scientific Partner,ⴰⵛⵔⵉⴽ ⴰⵎⴰⵙⵙⴰⵏ ⴰⵎⵇⵔⴰⵏ,CC0-1.0,ashrik amassan amqran,اشريك اماسسان امقران
Warsaw University of Technology,ⵜⴰⵙⴷⴰⵡⵉⵜ ⵏ ⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵏ ⵡⴰⵔⵙⵓ,CC0-1.0,tasdawit n tiknulujit n warsu,تاسداويت ن تيكنولوجيت ن وارسو
