Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰⴳⴰⴷⴰⵣ ⵙ ⵜⵓⴳⵜ,Marché de gros,سوق الجملة,agadaz s tugt,اڭاداز س توڭت,Wholesale market
ⴰⴳⴰⵣ ⴰⴳⴰⵎⴰⵏ,gaz naturel,غاز طبيعي,agaz agaman,اڭاز اڭامان,Natural gas
ⴰⴳⴰⵣ ⴰⴽⴰⵕⴱⵓⵏ,gaz carbonique,غاز كاربوني,agaz akaṛbun,اڭاز اكاربون,Carbon gas
ⴰⴳⴰⵣ ⵉⵥⵉⵏⵉ,gaz toxique,غاز سام,agaz iẓini,اڭاز يزّيني,Toxic gas
ⴰⴳⴰⵣ ⵏ ⵡⵓⵥⵓⵏ,gaz d'ozone,غاز الأوزون,agaz n wuẓun,اڭاز ن ووزّون,Ozone gas
ⵜⴰⵎⵙⵖⴰⵍⵜ ⵏ ⵓⴳⴰⵣ,gazométrie,قِياس الغاز,tamsghalt n ugaz,تامسغالت ن وڭاز,Gas measurement
ⵉⵏⵀⵎ ⵡⴰⴳⴳⴰⴳ,Le tonnerre gronde ; il tonne.,زمجر الرعد,inhm waggag,ينهم واڭڭاڭ,The thunder roared.
ⵉⵟⵟⵓⵇⵇⵥ ⵡⴰⴳⴳⴰⴳ,La foudre a éclaté.,دوى الرعد,iṭṭuqqẓ waggag,يططوققزّ واڭڭاڭ,The thunder rumbled.
ⴰⴳⴳⵯⴰ ⵏ ⵡⴰⵏⵥⴰ,"charge de la preuve, fardeau de preuve",عبء الإثبات,aggⵯa n wanẓa,اڭڭⵯا ن وانزّا,The burden of proof
ⴰⴳⴳⵯⴷ ⵉⵎⵉⵇ,rien,لا شيء,aggⵯd imiq,اڭڭⵯد يميق,Nothing.
ⴰⴳⴳⵯⴷ ⵉⵎⵉⵍ,rien,لا شيء,aggⵯd imil,اڭڭⵯد يميل,Nothing
ⴰⴳⴳⵯⴷ ⵢⵓⴽⴽ,personne,لا أحد,aggⵯd yukk,اڭڭⵯد يوكك,No one.
ⵉⴼⵉⵍⵏ ⵏ ⵓⴳⴷⴷⵓⵍ,panneaux d’interdiction,لوحات المنع,ifiln n ugddul,يفيلن ن وڭددول,Prohibition signs
ⴰⴳⵉⵏⴰⵏ ⵏ ⵓⵅⴷⵉⵍ,pylore,بوّاب (المعدة),aginan n ukhdil,اڭينان ن وخديل,"""Pylorus (of the stomach)"""
ⴰⴳⵉⵏⴰⵏ ⵏ ⵡⵓⵍ,valve cardiaque,صمام القلب,aginan n wul,اڭينان ن وول,Heart valve
ⴰⴳⵊⴰ ⵏ ⵉⵣⴷⴰⵔ,mâchoire inférieure,فك سفلي,agja n izdar,اڭجا ن يزدار,Lower jaw
ⴰⴳⵊⴰ ⵏ ⵓⴼⵍⵍⴰ,mâchoire supérieure,الفك العُلوي,agja n uflla,اڭجا ن وفللا,The upper jaw
ⵜⵉⴽⵏⵉ ⵏ ⵡⴰⴳⵊⴰ,déplacement de la mâchoire,اعوجاج الفك,tikni n wagja,تيكني ن واڭجا,Jaw misalignment
ⵓⴼⵔⵉⵖ ⵏ ⵡⴰⴳⵊⴰ,qui a la mâchoire tordue,معوج الفك,ufrigh n wagja,وفريغ ن واڭجا,"""Crooked jaw"""
ⴰⴳⵊⴷⵉ ⴰⴳⴷⵓⴷⴰⵏ,pôle public,قطب عمومي,agjdi agdudan,اڭجدي اڭدودان,Public pole
ⴰⴳⵊⴷⵉ ⵏ ⵜⵙⵓⵍⴼⵜ,Axe de prise de vue,محور التقاط الصورة,agjdi n tsulft,اڭجدي ن تسولفت,The axis of capturing the image.
ⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ,domaine public,مِلك عام,agla agdudan,اڭلا اڭدودان,Public property
ⴰⴳⵍⴰ ⴰⵎⴳⵔⵓ,biens communaux,الممتلكات الجماعية,agla amgru,اڭلا امڭرو,Collective property
ⴰⴳⵍⴰ ⴰⵡⴰⵏⴽⴰⵏ,domaine de l'état,مِلْك الدولة,agla awankan,اڭلا اوانكان,State property
ⴱⴰⴱ ⵏ ⵜⴰⵜⵜⵓⵢⵜ ⵜⴰⴳⵍⴷⴰⵏⵜ,son altesse royale,صاحب السمو الملكي,bab n tattuyt tagldant,باب ن تاتتويت تاڭلدانت,His Royal Highness
ⴰⴳⵍⵎⴰⵎ ⴰⵏⴼⵜⴰⵙ,lac litorale,نحيرة ساحلية,aglmam anftas,اڭلمام انفتاس,Coastal lagoon
ⴰⴳⵍⵎⴰⵎ ⴰⵜⴰⴽⵜⵓⵏ,lac tectonique,بحيرة تكتونية,aglmam ataktun,اڭلمام اتاكتون,Tectonic lake
ⴰⴳⵍⵎⴰⵎ ⵓⴳⵔⵉⵙ,lac glaciaire,بحيرة جليدية,aglmam ugris,اڭلمام وڭريس,Glacial lake
ⴰⴳⵍⵓⴳⵍ ⴰⴷⵎⵙⴰⵏ,récession économique,ركود اقتصادي,aglugl admsan,اڭلوڭل ادمسان,Economic recession
ⴰⵔⴳⴰⵍ ⵏ ⵉⴳⵎⵉⵔⵏ,fermeture de frontière,إغلاق الحدود,argal n igmirn,ارڭال ن يڭميرن,Border closure
ⵉⴳⵎⵉⵔⵏ ⵉⴳⴰⵎⴰⵏⵏ,frontières naturelles,حدود طبيعية,igmirn igamann,يڭميرن يڭامانن,Natural boundaries
ⴰⴳⵎⵎⴰⴹ ⴰⴽⵓⴷⴰⵏ,fuseau horaire,منطقة زمنية,agmmaḍ akudan,اڭمماض اكودان,Time zone
ⴰⴳⵎⵎⵓ ⴱⵓ ⵓⵖⵢⴰⵢ,fruit à noyau,فاكهة منواة,agmmu bu ughyay,اڭممو بو وغياي,A fruit with a seed.
ⴰⴳⵎⵎⵓ ⴱⵓ ⵢⵉⵔⴳ,fruit à coque,فاكهة جوْزية,agmmu bu yirg,اڭممو بو ييرڭ,Nutty fruit
ⴰⴳⵏⵙⴰⵙ ⴰⵎⴰⵜⴰⵢ,procureur général,وكيل عام، ممثل النيابة العامة,agnsas amatay,اڭنساس اماتاي,"Public prosecutor, representative of the public prosecution."
ⵜⴰⵎⵙⵖⴰⵍⵜ ⵏ ⵓⴳⵓⵏⴷⵓ,hygromètre,مقياس الرطوبة,tamsghalt n ugundu,تامسغالت ن وڭوندو,Humidity meter
ⴰⴳⵔⴰⵡ ⵏ ⵉⵎⵙⵜⴰⵏⵏ,barreau,هيئة المحامين,agraw n imstann,اڭراو ن يمستانن,The Bar Association
ⴰⴳⵔⴰⵡ ⵏ ⵉⵏⵣⵣⵓⵔⴼⴰ,corps de la magistrature,هيئة القضاة,agraw n inzzurfa,اڭراو ن ينززورفا,The panel of judges
ⴰⴳⵔⴰⵡ ⵏ ⵓⵙⵓⴷⵙ,comité d'organisation,لجنة منظمة,agraw n usuds,اڭراو ن وسودس,Organizing committee
ⴰⴳⵔⴰⵡ ⵏ ⵓⵙⵜⴰⵢ,collège électoral,هيئة انتخابية,agraw n ustay,اڭراو ن وستاي,Electoral commission
ⴰⴳⵔⴰⵡ ⵏ ⵜⵉⵔⵔⴰ,comité de rédaction,هيأة التحرير,agraw n tirra,اڭراو ن تيررا,The Editorial Board
ⴰⴳⵔⴰⵡ ⴰⵍⵓⴳⴰⵏ,assemblée ordinaire,جمع عام عادي,agraw alugan,اڭراو الوڭان,A regular general assembly
ⴰⴳⵔⴰⵡ ⴰⵎⴰⵜⴰⵢ,assemblée générale,جمع عام,agraw amatay,اڭراو اماتاي,"""Public gathering"" or ""general assembly"" (depending on the context)."
ⴰⴳⵔⴰⵡ ⴰⵎⵚⴽⴰⵡ,assemblée constituante,جمع تأسيسي,agraw amṣkaw,اڭراو امصكاو,Constituent Assembly
ⴰⴳⵔⴰⵡ ⵓⵙⵍⵉⴷ,assemblée extraordinaire,جمع عام استثنائي,agraw uslid,اڭراو وسليد,An extraordinary general assembly
ⴰⵣⵓⵣⵡⵓ ⵏ ⵓⴳⵔⵉⵙ,brise de glacier,نسيم جليدي,azuzwu n ugris,ازوزوو ن وڭريس,Icy breeze
ⵎⴰⵔ ⴰⴳⵔⵉⵙ,"antigivre, antigivrant",مضاد الصقيع,mar agris,مار اڭريس,Anti-freeze
ⵉⴼⵉⵍⴰⵏ ⵉⴳⵕⴹⴰⵏⵏ,cordes vocales,حبال صوتية,ifilan igṛḍann,يفيلان يڭرضانن,Vocal cords
ⴰⴳⵜⵎⵉⵜⴰⵔ ⵏ ⵎⵉⵔⵙ,syndrome respiratoire du moyen-orient (mers),مُتلازِمة الشّرق الأوسط التّنفُّسية,agtmitar n mirs,اڭتميتار ن ميرس,Middle East Respiratory Syndrome (MERS)
ⴰⴳⵜⵎⵉⵜⴰⵔ ⵏ ⵡⵓⴱⵓⵢ ⵏ ⵡⵓⵏⴼⵓⵙ,syndrome de détresse respiratoire aiguë (sdra),مُتلازِمة الضائِقة التنفُّسية الحادة,agtmitar n wubuy n wunfus,اڭتميتار ن ووبوي ن وونفوس,Acute Respiratory Distress Syndrome (ARDS)
ⴰⴳⵣⴰⵎ ⴰⵎⵙⵙⵓⴳⵓⵔ,découpage administratif,تقطيع إداري,agzam amssugur,اڭزام امسسوڭور,Administrative division
ⴰⴳⵣⴰⵎ ⴰⵎⵙⵜⴰⵢ,découpage électoral,تقطيع انتخابي,agzam amstay,اڭزام امستاي,Gerrymandering
ⴰⴳⵣⴰⵎ ⴰⵙⴼⵙⴰⵢ,découpage analytique,تقطيع تحليلي,agzam asfsay,اڭزام اسفساي,Analytical segmentation
ⴰⴳⵣⴰⵎ ⴰⵜⵉⵇⵏⵉ,découpage technique,تقطيع تقني,agzam atiqni,اڭزام اتيقني,Technical breakdown
ⴰⴳⵯⴷ ⵃⴰⵃ,rien,لا شيء,agⵯd ḥaḥ,اڭⵯد حاح,Nothing.
ⴰⴳⵯⴷ ⵉⵎⵉⵇ,rien,لا شيء,agⵯd imiq,اڭⵯد يميق,Nothing.
ⴰⴳⵯⴷ ⵢⵉⵡⵏ,personne,لا أحد,agⵯd yiwn,اڭⵯد ييون,No one.
ⵉⴷⴷⴰ ⵙ ⵜⵎⵖⵔⴰ ⴰⴳⵯⴷ ⵏⵜⵜⴰ,lui aussi est allé au mariage,هو أيضا ذهب إلى العرس,idda s tmghra agⵯd ntta,يددا س تمغرا اڭⵯد نتتا,He also went to the wedding.
ⴰⴷ ⵉⴼⴼⵖ ⵜⵉⵡⵛⵛⴰ,Il sortira demain,سوف يخرج غدا,ad iffgh tiwshsha,اد يففغ تيوششا,He will go out tomorrow.
ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⴰⵇⵇⵔⴰⵎ,vous devez lire,يجب أن تقرؤوا,ikhṣṣa ad taqqram,يخصصا اد تاققرام,You must read.
ⵏⵜⵜⴰ ⴰⴷ ⵉⴷⴷⴰⵏ ⵓⵔ ⴷ ⴳⵯⵎⴰⵙ,c'est lui qui est parti et non son frère,هو من أتى وليس أخوه,ntta ad iddan ur d gⵯmas,نتتا اد يددان ور د ڭⵯماس,"He is the one who came, not his brother."
ⴰⴷⴰⵏ ⵓⵙⴷⵉⴷⵏ,intestin grêle,معي دقيق,adan usdidn,ادان وسديدن,"""I have flour."""
ⴰⵡⴽⴽⴰ ⵏ ⵡⴰⴷⴰⵏ,ascaris (ou Ascaride) Lumbricoïdes,صفار (أسكارس، ثعبان البطن),awkka n wadan,اوككا ن وادان,"Eggs (Ascaris, intestinal worm)"
ⵉⵣⵔⵎⴰⵏ ⵏ ⵡⴰⴷⴰⵏ,parasitose intestinale,ديدان معوية,izrman n wadan,يزرمان ن وادان,Intestinal worms
ⵜⴰⴱⴰⴽⵜⵉⵔⵉⵜ ⵏ ⵡⴰⴷⴰⵏ,entérobactérie,بكتريا معوية,tabaktirit n wadan,تاباكتيريت ن وادان,Intestinal bacteria
ⵜⵉⵎⵙⴳⵔⵜ ⵏ ⵡⴰⴷⴰⵏ,appendice,الزائدة الدودية,timsgrt n wadan,تيمسڭرت ن وادان,The appendix
ⴰⴷⴷ (-ⵅⴼ),mettre l'accent sur,ركَّز,add (-khf),ادد (-خف),Focused
ⴰⴷⴷⴰⴷ ⴰⵎⴰⵔⵓⵣ,état d’annexion,حالة إلحاق,addad amaruz,ادداد اماروز,Attachment status
ⴰⴷⴷⴰⴷ ⵉⵍⴻⵍⵍⵉ,état libre,حالة إرسال,addad ilelli,ادداد يل°للي,Sending status
ⴰⴷⴷⴰⴷ ⵓⵖⵔⵉⵎ,état civil,حالة مدنية,addad ughrim,ادداد وغريم,Civil status
"ⴰⴷⴷⴰⵢ ⵜⴰⵡⴹ ⵜⴳⵔⵙⵜ, ⵍⴰ ⵜⵜⵔⵃⴰⵍⵏ ⵙ ⴰⵣⴰⵖⴰⵔ.","lorsque l'hiver arrive, ils transhument vers la plaine",عندما يحلّ فصل الشتاء، يرحلون إلى السهل,"adday tawḍ tgrst, la ttrḥaln s azaghar.","ادداي تاوض تڭرست, لا تترحالن س ازاغار.","""When winter arrives, they move to the plain."""
ⴰⵍ ⴰⴷⴷⴰⵢ,à tout à l'heure,بعد حين,al adday,ال ادداي,After a while.
ⵙ ⵡⴰⴷⴷⴰⵢ,par-dessous,تحت,s wadday,س وادداي,Under
ⴱⴰⴱ ⵏ ⵡⴰⴷⴷⵓⵔ,sa majesté,صاحب الجلالة,bab n waddur,باب ن واددور,His Majesty
ⴰⴼⵙⴰⵢ ⵏ ⵓⴷⴼⵍ,fonte des neiges,ذوبان الثلج,afsay n udfl,افساي ن ودفل,The melting of snow.
ⴰⵖⴰⵎⵓⵙ ⵏ ⵓⴷⴼⵍ,manteau neigeux,غطاء ثلجي,aghamus n udfl,اغاموس ن ودفل,Snow cover
ⵉⴼⵙⵉ ⵓⴷⴼⵍ,la neige a fondu,ذاب الثلج.,ifsi udfl,يفسي ودفل,The snow melted.
ⵉⵡⵜⴰ ⵓⴷⴼⵍ,Il a neigé,تساقط الثلج.,iwta udfl,يوتا ودفل,The snow is falling.
ⵉⵣⵉⴽⵉ ⵏ ⵓⴷⴼⵍ,barrière à neige,حاجز ثلجي,iziki n udfl,يزيكي ن ودفل,Ice barrier
ⵙⴳⵍ ⵙ ⵓⴷⴼⵍ,être rempli de neige,امتلأ بالثلج,sgl s udfl,سڭل س ودفل,It was filled with snow.
ⵜⴰⴷⵓⵔⵉ  ⵏ ⵓⴷⴼⵍ,épaisseur de neige,سمْك الثلج,taduri  n udfl,تادوري  ن ودفل,Snowfish
ⵜⴰⵎⵙⵖⴰⵍⵜ ⵏ ⵓⴷⴼⵍ,nivomètre,مقياس الثلج,tamsghalt n udfl,تامسغالت ن ودفل,Snow gauge
ⵢⵓⵙⵉ ⵓⴷⴼⵍ,la neige a cessé ; il ne neige plus.,توقف الثلج عن السقوط,yusi udfl,يوسي ودفل,The snow has stopped falling.
ⴰⴷⵅⵛⴰⵎ ⵏ ⵡⴰⵢⵍⴰⵍⵏ,grippe aviaire,إنفلونزا الطيور,adkhsham n waylaln,ادخشام ن وايلالن,Bird flu
ⴱⵓ ⵓⴷⵉⴷⴰ,"bruyant, bavard",صاخب، ثرثار,bu udida,بو وديدا,"Noisy, talkative."
ⴰⴷⵉⴼ ⵓⵙⵏⵉⵏ,moelle épinière,نخاع شوكي,adif usnin,اديف وسنين,Spinal cord
ⴱⵓ ⵡⴰⴷⵉⴼ,os à moelle,عظم نخاعي,bu wadif,بو واديف,Bone marrow
ⵉⵎⵍⴰ ⵓⴷⵉⵙ,avoir la diarrhée,أصيب بالإسهال,imla udis,يملا وديس,He had diarrhea.
ⵜⵍⵍⴰ ⵙ ⵓⴷⵉⵙ,elle est enceinte,إنها حامل,tlla s udis,تللا س وديس,She is pregnant.
ⵜⵓⴼⴼⵜ ⵏ ⵓⴷⵉⵙ,ballonnement,انتفاخ البطن,tufft n udis,توففت ن وديس,Bloating.
ⵜⵓⴽⴽⵙⴰ ⵏ ⵓⴷⵓⵔⴷⵓ,anorexie (perte d'appétit),فقدان الشهية,tukksa n udurdu,توككسا ن ودوردو,Loss of appetite
ⴰⵎⵎⴰⵙ ⴰⴷⵓⵙⴰⵏ,"dispensaire, centre de santé",مركز صحي، مستوصف,ammas adusan,امماس ادوسان,"Health center, clinic"
ⵉⵛⵛ ⵏ ⵓⴷⵔⴰⵔ,pic de montagne,قمة الجبل,ishsh n udrar,يشش ن ودرار,The summit of the mountain.
ⵉⴷⵓⵔⴰⵔ ⴰⵜⵜⵓⵢⵏⵉⵏ,hautes montagnes,جبال عليا,idurar attuynin,يدورار اتتوينين,"""High mountains"""
ⵉⴷⵓⵔⴰⵔ ⵉⵎⴰⵣⴷⴰⵔⵏ,basses montagnes,جبال سفلى,idurar imazdarn,يدورار يمازدارن,Lower mountains
ⵉⴷⵓⵔⴰⵔ ⵉⵎⵊⴰⵀⴷⵉⵢⵉⵏ,moyennes montagnes,جبال متوسطة,idurar imjahdiyin,يدورار يمجاهدييين,Medium mountains
ⴰⴷⵔⵉⵎ ⴰⵏⴰⵎⵓⵔ,monnaie nationale,عملة وطنية,adrim anamur,ادريم انامور,National currency
ⴰⴷⵔⵉⵎ ⴰⵏⵣⵎⴰⵔ,devise (monnaie),عملة صعبة,adrim anzmar,ادريم انزمار,Hard currency
ⴰⴷⵔⵉⵣ ⴰⵎⴰⴷⴷⵓⴷ,caractère officiel,طابع رسمي,adriz amaddud,ادريز اماددود,Official stamp
ⴰⴷⵖⴰⵔ ⴰⵏⴳⵉⴳⵜ,zone climatique,نطاق مناخي,adghar angigt,ادغار انڭيڭت,Climatic range
ⴰⴷⵖⴰⵔ ⵉⵇⵇⵓⵔⵏ,zone sèche,منطقة جافة,adghar iqqurn,ادغار يققورن,A dry area.
ⴰⴷⵖⴰⵔ ⵉⵍⴷⵓⴷⵉⵏ,zone tiède,منطقة معتدلة,adghar ildudin,ادغار يلدودين,A temperate region
ⴰⴷⵖⴰⵔ ⵉⵍⴻⵍⵍⵉ,zone franche,منطقة حرة,adghar ilelli,ادغار يل°للي,Free zone
ⴰⴷⵖⴰⵔ ⵉⵔⵖⴰⵏ,zone chaude,منطقة ساخنة,adghar irghan,ادغار يرغان,Hot zone
ⴰⴷⵖⴰⵔ ⵉⵚⵎⴹⵏ,zone froide,منطقة باردة,adghar iṣmḍn,ادغار يصمضن,A cold region.
ⴰⴷⵖⴰⵔ ⵢⵓⵣⵖⵏ,zone aride,منطقة جافة,adghar yuzghn,ادغار يوزغن,A dry area.
ⴰⴷⵖⴰⵔ ⵣⵓⵏ ⵢⵓⵣⵖⵏ,zone semi-aride,منطقة شبه جافة,adghar zun yuzghn,ادغار زون يوزغن,A semi-arid region
ⴰⴹⴰⴹ ⵏ ⵜⵍⵓⵙⵙⵉ,noisette de beurre,قطعة زبدة,aḍaḍ n tlussi,اضاض ن تلوسسي,A piece of butter
ⴰⴹⴰⴹ ⴰⵎⵇⵔⴰⵏ,majeur,وسطى (أصبع أوسط),aḍaḍ amqran,اضاض امقران,Middle (middle finger)
ⴰⴹⴰⴹ ⴰⵎⵥⵢⴰⵏ,auriculaire,خنصر,aḍaḍ amẓyan,اضاض امزّيان,"""Little finger"" or ""pinky finger."""
ⴰⴹⴰⴹ ⴱⵓ ⵜⵅⵓⵜⴰⵎ,annulaire,بنصر,aḍaḍ bu tkhutam,اضاض بو تخوتام,"""Victory"" or ""By victory"" depending on the context."
ⴰⴹⴱⵉⴱ ⴰⵏⵢⵉⵎⴰⵏ,psychiatre,طبيب نفساني,aḍbib anyiman,اضبيب انييمان,Psychiatrist
ⴰⴹⴱⵉⴱ ⵏ ⵉⵎⵥⵥⵢⴰⵏⵏ,pédiatre,طبيب الأطفال,aḍbib n imẓẓyann,اضبيب ن يمزّزّيانن,Pediatrician
ⴰⴹⴱⵉⴱ ⵏ ⵉⵖⵙⴰⵏ,traumatologue,أخصائي العظام والمفاصل,aḍbib n ighsan,اضبيب ن يغسان,Orthopedic specialist.
ⴰⴹⴱⵉⴱ ⵏ ⵉⵣⵍⵍⵓⵎⵏ,neurologue,أخصائي الجهاز العصبي,aḍbib n izllumn,اضبيب ن يزللومن,Nervous system specialist
ⴰⴹⴱⵉⴱ ⵏ ⵓⴳⵏⵙ,interniste,طبيب باطني,aḍbib n ugns,اضبيب ن وڭنس,Internal medicine doctor
ⴰⴹⴱⵉⴱ ⵏ ⵓⵔⵓⵎⴰⵜⵉⵣⵎ,rhumatologue,أخصائي الروماتيزم,aḍbib n urumatizm,اضبيب ن وروماتيزم,Rheumatology specialist
ⴰⴹⴱⵉⴱ ⵏ ⵓⵣⵣⵔⴰⵢ ⵙ ⵓⵥⵏⵥⵕ,radiologue,طبيب الأشعة,aḍbib n uzzray s uẓnẓṛ,اضبيب ن وززراي س وزّنزّر,Radiologist
ⴰⴹⴱⵉⴱ ⵏ ⵜⴳⵥⵥⴰⵍ,néphrologue,أخصائي الكلي,aḍbib n tgẓẓal,اضبيب ن تڭزّزّال,Kidney specialist
ⴰⴹⴱⵉⴱ ⵏ ⵜⵓⵔⵉⵏ,pneumologue,أخصائي الجهاز التنفسي,aḍbib n turin,اضبيب ن تورين,Respiratory specialist
ⴰⴹⴱⵉⴱ ⵏ ⵜⵟⵟⴰⵡⵉⵏ,"ophtalmologue, oculiste",طبيب عيون,aḍbib n tṭṭawin,اضبيب ن تططاوين,Ophthalmologist (Eye doctor)
ⴰⴹⴱⵉⴱ ⵏ ⵜⵡⵍⵙⴰⵙ,endocrinologue,أخصائي الغدد,aḍbib n twlsas,اضبيب ن تولساس,Endocrinologist
ⴰⴹⴱⵉⴱ ⵏ ⵜⵡⵜⵎⵉⵏ,gynécologue,طبيب النساء,aḍbib n twtmin,اضبيب ن توتمين,Gynecologist
ⴰⴹⴱⵉⴱ ⵏ ⵡⴰⵍⵍⵏ,"ophtalmologue, oculiste",طبيب عيون,aḍbib n walln,اضبيب ن واللن,Ophthalmologist
ⴰⴹⴱⵉⴱ ⵏ ⵡⵓⵍ,cardiologue,طبيب القلب,aḍbib n wul,اضبيب ن وول,Cardiologist
ⴰⴹⴱⵉⴱ ⵏ ⵢⵉⵍⵎ,dermatologue,طبيب الجلد,aḍbib n yilm,اضبيب ن ييلم,Dermatologist
ⴰⴹⴼⴰⵚ ⵏ  ⵜⴰⵔⴰⵢⵉⵏ ⵏ ⵡⴰⴽⴰⵍ,plissement des couches de la terre,التواء طبقات الأرض,aḍfaṣ n  tarayin n wakal,اضفاص ن  تارايين ن واكال,The folding of Earth's layers
ⴰⴹⴼⴼⵓⵙ ⵏ ⵢⵉⵍⵎ,repli cutané,ثنية جلدية,aḍffus n yilm,اضففوس ن ييلم,A leather fold
ⵜⴰⵙⴰⴽⴰⵢⵜ ⵏ ⵡⴰⴹⵓ,masse d'air,كتلة هواء,tasakayt n waḍu,تاساكايت ن واضو,Air mass
ⵜⴰⵙⵓⵜⵍⵜ ⵏ ⵡⴰⴹⵓ,circulation de l'air,دورة هوائية,tasutlt n waḍu,تاسوتلت ن واضو,Air cycle
ⵜⵉⵏⵥⵉ ⵏ ⵡⴰⴹⵓ,densité de l'air,كثافة الهواء,tinẓi n waḍu,تينزّي ن واضو,Air density
ⵜⵓⵏⵓⴹⵜ ⵏ ⵡⴰⴹⵓ,circulation de l'air,دورة هوائية,tunuḍt n waḍu,تونوضت ن واضو,Air cycle
ⴰⴹⵕⵉⵚ ⵉⵙⵎⴷⵏ,texte intégral,نصٌّ كامل,aḍṛiṣ ismdn,اضريص يسمدن,A complete text.
ⴰⴼⴰ ⵏ ⵓⴷⵔⴰⵔ,sommet de montagne,قمة الجبل,afa n udrar,افا ن ودرار,The summit of the mountain.
